,Unnamed: 0,full_name,num_games,season,turner_name,avg_minutes,avg_two_points_made_pm,avg_field_goals_miss_pm,avg_three_points_made_pm,avg_free_throws_made_pm,avg_free_throws_miss_pm,avg_off_rebounds_pm,avg_def_rebounds_pm,avg_assists_pm,avg_turnovers_pm,avg_steals_pm,avg_block_pm,avg_personal_fouls_pm,PER,avg_points_pm,avg_rebounds_pm
31,7623,Chinanu Onuaku,31,2015,University of Louisville,24.580645161290327,0.17979002624671914,0.11023622047244094,0.0,0.043307086614173235,0.03018372703412073,0.11942257217847765,0.2257217847769028,0.06692913385826771,0.08530183727034119,0.031496062992125984,0.08136482939632544,0.12073490813648295,12.3,0.40288713910761154,0.3451443569553805
32,7648,Richaun Holmes,31,2014,Bowling Green State University,28.77419354838709,0.1647982062780269,0.14349775784753366,0.020179372197309416,0.1221973094170404,0.0493273542600897,0.0986547085201794,0.1793721973094171,0.02914798206278027,0.06726457399103139,0.02466367713004485,0.09192825112107626,0.08632286995515696,17.25,0.5123318385650225,0.2780269058295965
33,7697,Rakeem Christmas,31,2014,Syracuse University,34.32258064516129,0.19078947368421048,0.15507518796992478,0.0,0.12781954887218042,0.051691729323308254,0.0911654135338346,0.1738721804511278,0.04417293233082705,0.07330827067669171,0.02725563909774436,0.07330827067669171,0.09868421052631578,21.2,0.5093984962406014,0.2650375939849624
34,7700,Jordan Mickey,31,2014,Louisiana State University,34.87096774193548,0.1757631822386679,0.17391304347826084,0.0009250693802035152,0.08788159111933397,0.048103607770582806,0.09158186864014804,0.1933395004625347,0.03700277520814062,0.09343200740055506,0.026827012025901948,0.10453283996299724,0.07493061979648474,12.55,0.44218316373728034,0.28492136910268273
35,7876,Fred VanVleet,31,2015,Wichita State University,29.032258064516128,0.08444444444444442,0.2066666666666666,0.047777777777777766,0.10888888888888884,0.02444444444444444,0.012222222222222216,0.09888888888888886,0.1911111111111111,0.05999999999999998,0.0611111111111111,0.0033333333333333327,0.05999999999999999,10.5,0.421111111111111,0.11111111111111108
36,7898,Alex Poythress,31,2015,University of Kentucky,23.612903225806445,0.15300546448087438,0.10792349726775956,0.009562841530054648,0.09836065573770493,0.04098360655737706,0.07513661202185794,0.18032786885245905,0.013661202185792356,0.050546448087431715,0.025956284153005483,0.03005464480874319,0.15300546448087435,13.2,0.43306010928961763,0.255464480874317
37,8311,Jerami Grant,32,2013,Syracuse University,31.40625,0.13233830845771144,0.13432835820895522,0.0,0.11940298507462688,0.05771144278606965,0.07761194029850743,0.1383084577114428,0.04378109452736318,0.03681592039800995,0.02587064676616916,0.017910447761194027,0.07462686567164176,9.0,0.38407960199004976,0.21592039800995022
39,9082,Joel Bolomboy,33,2015,Weber State University,31.57575757575757,0.16602687140115166,0.13819577735124758,0.019193857965451058,0.15259117082533594,0.06621880998080615,0.10460652591170826,0.29366602687140125,0.034548944337811915,0.07485604606525911,0.022072936660268726,0.039347408829174674,0.07005758157389634,19.7,0.5422264875239924,0.3982725527831095
40,9132,A.J. Hammons,33,2015,Purdue University,24.63636363636364,0.23739237392373924,0.16851168511685113,0.007380073800738006,0.11070110701107007,0.045510455104551054,0.0947109471094711,0.23739237392373924,0.04551045510455103,0.07995079950799508,0.011070110701107009,0.10332103321033208,0.09594095940959403,8.4,0.6076260762607626,0.33210332103321033
41,9150,Henry Ellenson,33,2015,Marquette University,33.54545454545453,0.14814814814814814,0.21770551038843736,0.02710027100271004,0.12917795844625118,0.04336043360433605,0.06413730803974707,0.2258355916892503,0.05329719963866307,0.07136404697380311,0.02439024390243904,0.044263775971093065,0.07588075880758809,7.5,0.5067750677506776,0.28997289972899737
