,full_name,num_games,season,turner_name,avg_minutes,avg_two_points_made_pm,avg_field_goals_miss_pm,avg_three_points_made_pm,avg_free_throws_made_pm,avg_free_throws_miss_pm,avg_off_rebounds_pm,avg_def_rebounds_pm,avg_assists_pm,avg_turnovers_pm,avg_steals_pm,avg_block_pm,avg_personal_fouls_pm
2229,Alerique Gilbert,6,2017,University of Connecticut,27.833333333333332,0.08383233532934133,0.24550898203592814,0.029940119760479045,0.0658682634730539,0.05389221556886228,0.00598802395209581,0.1377245508982036,0.10179640718562875,0.05389221556886228,0.04191616766467066,0.01197604790419162,0.04790419161676646
2230,Henry Odunze,6,2017,Howard University,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.07142857142857144,0.14285714285714288,0.0,0.0,0.0,0.07142857142857142,0.21428571428571427
2231,Aaric Murray,6,2013,Texas Southern University,31.833333333333336,0.2617801047120419,0.3036649214659686,0.04712041884816753,0.1518324607329843,0.04712041884816753,0.05235602094240838,0.09947643979057591,0.036649214659685854,0.10471204188481674,0.0418848167539267,0.0418848167539267,0.06282722513089005
2232,Nathan Scheer,6,2013,Missouri State University,8.333333333333334,0.019999999999999997,0.18,0.06,0.04,0.0,0.02,0.09999999999999999,0.0,0.04,0.04,0.0,0.12
2233,Jacob Redding,6,2017,University of Louisville,2.1666666666666665,0.07692307692307694,0.0,0.23076923076923078,0.15384615384615388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2234,Tyrone Powell,6,2017,"University of Wisconsin, Green Bay",4.0,0.16666666666666666,0.08333333333333334,0.0,0.08333333333333333,0.08333333333333334,0.04166666666666667,0.20833333333333334,0.08333333333333334,0.08333333333333334,0.08333333333333334,0.0,0.04166666666666667
2235,Bryant Beckford,6,2017,St. Francis College (Brooklyn),2.0,0.16666666666666669,0.0,0.0,0.08333333333333334,0.08333333333333334,0.0,0.16666666666666669,0.0,0.0,0.0,0.0,0.08333333333333334
2236,Drew Bost,6,2015,East Carolina University,2.3333333333333335,0.0,0.28571428571428575,0.07142857142857142,0.0,0.0,0.0,0.07142857142857144,0.14285714285714288,0.0,0.0,0.0,0.0
2237,Chris Eversley,6,2013,California Polytechnic State University,32.166666666666664,0.0984455958549223,0.2901554404145078,0.05699481865284975,0.0984455958549223,0.010362694300518137,0.05181347150259068,0.09844559585492228,0.036269430051813475,0.036269430051813475,0.031088082901554407,0.005181347150259068,0.08808290155440415
2238,Sasha Seymore,6,2014,"University of North Carolina, Chapel Hill",1.8333333333333335,0.18181818181818182,0.18181818181818182,0.0,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.0909090909090909,0.0,0.2727272727272727,0.0,0.0,0.18181818181818182
2239,Tanner Lohaus,6,2017,University of Northern Iowa,5.833333333333334,0.0,0.14285714285714282,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.0857142857142857,0.19999999999999996,0.05714285714285714,0.0,0.028571428571428567,0.02857142857142857,0.05714285714285714
2240,Eric Wagenlander,6,2016,Wofford College,3.6666666666666665,0.0,0.27272727272727276,0.0,0.0,0.0,0.04545454545454546,0.04545454545454546,0.09090909090909093,0.09090909090909093,0.045454545454545456,0.04545454545454546,0.04545454545454546
2241,Tony Sabato,6,2015,Elon University,2.5,0.06666666666666667,0.06666666666666668,0.0,0.06666666666666667,0.13333333333333333,0.0,0.2,0.06666666666666668,0.06666666666666668,0.0,0.0,0.06666666666666668
2242,Cooper Olson,6,2016,Montana State University-Bozeman,2.5,0.0,0.06666666666666668,0.06666666666666667,0.0,0.0,0.0,0.06666666666666668,0.0,0.06666666666666668,0.0,0.0,0.13333333333333333
2243,Danny Harris,6,2016,Bethune-Cookman University,3.5,0.14285714285714285,0.2380952380952381,0.0,0.04761904761904762,0.09523809523809525,0.0,0.09523809523809525,0.04761904761904762,0.14285714285714285,0.0,0.0,0.14285714285714285
2244,Barry Cheaney,6,2015,"University of Nevada, Las Vegas",8.0,0.020833333333333336,0.08333333333333333,0.020833333333333332,0.0625,0.04166666666666667,0.0,0.0625,0.04166666666666667,0.0,0.020833333333333336,0.0,0.16666666666666666
2245,Julian Roche,6,2017,Santa Clara University,5.333333333333333,0.1875,0.06250000000000001,0.0,0.06250000000000001,0.0,0.12500000000000003,0.03125000000000001,0.0,0.06250000000000001,0.03125,0.03125000000000001,0.125
2246,Sam Japhet-Mathias,6,2017,Wake Forest University,7.333333333333333,0.06818181818181819,0.04545454545454546,0.0,0.0,0.0,0.11363636363636365,0.06818181818181819,0.0,0.06818181818181819,0.0,0.0,0.18181818181818185
2247,Joey Gruden,6,2017,University of Dayton,1.6666666666666667,0.0,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.2,0.09999999999999999,0.0,0.0
2248,Alex Mills,6,2017,North Carolina Central University,3.5,0.047619047619047616,0.42857142857142855,0.0,0.0,0.0,0.0,0.04761904761904762,0.0,0.0,0.0,0.0,0.0
2249,Jacob Bonnington,6,2017,McNeese State University,4.0,0.16666666666666669,0.375,0.0,0.0,0.0,0.125,0.20833333333333331,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333
2250,Lloyd Neely II,6,2013,Oakland University,9.0,0.05555555555555555,0.14814814814814817,0.0,0.05555555555555555,0.03703703703703704,0.1111111111111111,0.0925925925925926,0.018518518518518517,0.07407407407407408,0.03703703703703704,0.01851851851851852,0.1851851851851852
2251,Alex Budke,6,2014,Oklahoma State University,1.8333333333333335,0.0,0.0909090909090909,0.0909090909090909,0.0,0.0,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.0909090909090909,0.0,0.18181818181818182
2252,Aram Martin,6,2017,Bryant University,13.166666666666668,0.050632911392405056,0.08860759493670885,0.012658227848101264,0.02531645569620253,0.02531645569620253,0.025316455696202528,0.07594936708860758,0.012658227848101266,0.07594936708860758,0.012658227848101264,0.07594936708860758,0.18987341772151897
2253,Aric Gresko,6,2014,Saint Francis University (Pennsylvania),2.8333333333333335,0.0,0.1764705882352941,0.0588235294117647,0.0,0.0,0.11764705882352942,0.1176470588235294,0.1176470588235294,0.1764705882352941,0.05882352941176471,0.0,0.0
2254,Jeremy Combs,6,2017,Louisiana State University,8.666666666666668,0.1346153846153846,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307691,0.03846153846153846,0.05769230769230768,0.24999999999999994
2255,D'Angelo McBride,6,2015,Bradley University,5.666666666666667,0.0,0.14705882352941177,0.0,0.1764705882352941,0.08823529411764708,0.08823529411764705,0.08823529411764708,0.0,0.14705882352941177,0.02941176470588235,0.029411764705882356,0.029411764705882356
